,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8949.0,2984.0,2991.0,2974.0,2238.0,2236.0,2240.0,2235.0,1793.0,1793.0,1798.0,1782.0,1783.0,1501.0,1493.0,1480.0,1490.0,1502.0,1483.0,1270.0,1294.0,1279.0,1269.0,1288.0,1265.0,1284.0,1116.0,1125.0,1122.0,1111.0,1123.0,1119.0,1110.0,1123.0
Seg_Pct,1.0,0.33344507766230863,0.3342272879651358,0.3323276343725556,0.2500838082467315,0.24986031958878088,0.25030729690468206,0.24974857525980557,0.20035758185272098,0.20035758185272098,0.2009163034975975,0.19912839423399262,0.19924013856296793,0.16772823779193205,0.16683428316012963,0.16538160688345066,0.1664990501732037,0.16783998212090737,0.16571683987037658,0.1419152977986367,0.14459716169404402,0.14292099675941447,0.14180355346966142,0.1439266957201922,0.14135657615376018,0.143479718404291,0.12470667113643982,0.12571237009721756,0.12537713711029166,0.1241479494915633,0.12548888143926695,0.12504190412336574,0.124036205162588,0.12548888143926695
Installment_Purchases,0.25254218348418817,0.21548257372654156,0.35473085924439984,0.18695359784801613,0.38561215370866847,0.19186046511627908,0.18348214285714284,0.24921700223713647,0.19074177356385946,0.29001673173452314,0.20634037819799778,0.3900112233445567,0.1862030286034773,0.2418387741505663,0.19223040857334225,0.40878378378378377,0.30335570469798656,0.18908122503328895,0.18138907619689817,0.19606299212598424,0.42040185471406494,0.18295543393275998,0.2576832151300236,0.18400621118012422,0.2015810276679842,0.32242990654205606,0.1881720430107527,0.432,0.18181818181818182,0.27542754275427545,0.19679430097951914,0.3386952636282395,0.22252252252252253,0.18432769367764915
None_Of_the_Purchases,0.22807017543859648,0.246313672922252,0.22567703109327983,0.21217215870880968,0.22028596961572833,0.23792486583184258,0.203125,0.25100671140939596,0.2381483547127719,0.24428332403792527,0.24026696329254726,0.22278338945005613,0.1946158160403814,0.2558294470353098,0.2290689886135298,0.22297297297297297,0.22751677852348992,0.23768308921438083,0.19487525286581253,0.23622047244094488,0.2187017001545595,0.21188428459734168,0.2568951930654058,0.19953416149068323,0.2482213438735178,0.22585669781931464,0.246415770609319,0.22133333333333333,0.20231729055258468,0.24932493249324933,0.22974176313446126,0.21805183199285075,0.25405405405405407,0.20391807658058772
One_Of_Purchase,0.20940887249972065,0.22319034852546918,0.18187897024406552,0.22326832548755884,0.1805183199285076,0.23300536672629696,0.22455357142857144,0.19955257270693513,0.22197434467373117,0.18349135527049637,0.22691879866518352,0.1840628507295174,0.23051037577117217,0.20652898067954698,0.20361687876758205,0.17972972972972973,0.18389261744966443,0.23901464713715045,0.24342548887390425,0.23228346456692914,0.17697063369397217,0.20641125879593433,0.18912529550827423,0.2422360248447205,0.23557312252964427,0.1838006230529595,0.22939068100358423,0.17333333333333334,0.23440285204991088,0.19081908190819083,0.2350845948352627,0.1867739052725648,0.2099099099099099,0.21549421193232413
BALANCE,1564.647592719525,1645.514040806303,973.1863051190235,2078.351436069271,825.4698806219826,1821.0432693913258,2122.5200439263385,1489.1866065597321,1932.2924615053,1319.291896345229,1632.0918771379306,787.2052967861953,2150.6671450667395,1522.1423727581616,1979.3620127314095,740.9879706972985,1199.1352615006692,1763.685579396805,2177.8008389797706,1859.4976240141734,705.4602260479131,1974.157263681,1472.3104931237199,2225.9700574130447,1626.876419214227,1097.5440280116825,1727.750602964156,673.5556815599996,2340.170187254902,1428.404790388839,1922.5086159510245,979.6731824486153,1539.5004177684668,1905.0809347871786
BALANCE_FREQUENCY,0.877350131523082,0.8890498284182295,0.8436056088264793,0.8995485080699384,0.8303437582663094,0.9011066990160984,0.8993399035714277,0.8786134375838919,0.9082916648075834,0.8703854394868936,0.8839261012235805,0.8279409584736257,0.8959889854178344,0.8773936089273803,0.9037394782317458,0.8210018486486493,0.86440256442953,0.901557057256989,0.8954647484828046,0.9070091188976365,0.812076949768159,0.9042614683346345,0.8816650244286828,0.8953649572981359,0.8802608379446628,0.861786459501556,0.8995790161290309,0.8042597493333313,0.9042713672014251,0.8824336084608457,0.903212852181655,0.8565836577301149,0.8742416243243231,0.8944562466607291
PURCHASES,1003.3169359705028,998.735214477212,681.2215847542619,1331.8505783456628,624.230339588919,1046.6980858676193,1451.1723928571434,890.6544429530193,981.5301226993869,817.6659788064701,1045.3542213570615,603.9912850729528,1568.6288782950073,909.3302998001324,1134.3195713328853,579.5457905405415,780.5298657718121,1085.9267643142477,1529.6426770060677,1028.124866141732,554.8056723338493,1276.1049179046122,898.685303388494,1525.5062422360245,993.6010197628456,748.2234968847355,1123.410815412187,530.6942133333338,1546.2260160427804,826.0090099009905,968.8554407836149,718.6917426273463,958.0393243243236,1353.2500712377548
ONEOFF_PURCHASES,592.5035724661986,590.0159819034849,349.72791708458766,839.1629388029593,304.3057238605899,630.5746958855091,928.1369330357144,506.6158881431765,592.2522085889568,454.9490462911329,616.8431590656282,288.5096689113356,1010.361407739765,518.2819387075281,691.2054989953111,267.2625337837841,428.38104026845684,661.6994340878825,987.6565205664198,617.2415748031498,249.26656105100471,803.6176935105555,508.39283687943316,974.9347903726712,601.3268142292494,394.466331775701,685.6139516129033,233.48039111111095,981.6643850267379,452.52599459946015,573.9017809439001,375.87185880250223,562.5459819819819,873.3763935886026
INSTALLMENTS_PURCHASES,411.1135791708568,408.95335790884684,332.0890404546982,492.75732347007335,320.5521715817701,416.1382960644014,523.1279776785714,384.50459060402716,389.2779141104298,363.66306748466206,428.7840044493882,315.64560044893426,558.3837016264721,391.6906595602934,443.11407233757524,312.48070270270296,352.94731543624164,424.24952063914816,542.1259002022927,410.8832913385829,305.76493817619803,472.5044253322908,391.03643026004744,550.7152717391306,392.3163636363638,354.6837616822431,437.8267293906813,297.47357333333355,564.7267290552586,373.9660666066604,394.95365983971527,343.8563002680965,395.9054324324327,479.893268032057
CASH_ADVANCE,978.9596159909487,988.9250045502675,767.4652468157807,1181.6640338597874,728.4685870956205,1085.5990556189627,1177.7785991544663,923.8359530706942,1170.9998297367524,863.2516718482985,952.1326954616248,728.2060781301909,1179.8647467711735,938.5138051425718,1158.4646656008026,711.7448253925675,825.3794343684566,1034.975929756992,1203.4262245158473,1128.4967742220474,697.356987285935,1129.61957975606,964.4585973593381,1246.7430169751563,902.0112115588937,786.2991959890967,1013.169162395162,685.3462493537771,1300.896280016044,896.6213361575158,1144.9192471344618,773.7180148212684,950.7786997126124,1065.3136485307218
PURCHASES_FREQUENCY,0.4904053422728799,0.47156069705093934,0.4906204898027424,0.5090969747814399,0.4930649405719395,0.48181048971377527,0.518221360267858,0.46846262595078386,0.4860251466815395,0.471051489124373,0.47440637319243645,0.49812775084175137,0.522687991587213,0.46205690872751554,0.5032614085733427,0.5034806445945946,0.4772110953020133,0.48188950199733716,0.514987718813217,0.4826534055118116,0.5032671221020091,0.5264860609851445,0.4690607344365641,0.5088042290372676,0.4623683090909093,0.47943179517134,0.48753315143369164,0.5064290479999998,0.5121333244206775,0.4695162205220522,0.47731891095280465,0.4801876595174262,0.4656248378378374,0.5239260222617991
ONEOFF_PURCHASES_FREQUENCY,0.2024803070734184,0.21502902144772154,0.13972727081243713,0.25300114357767406,0.124447422252011,0.22679412835420357,0.2641420526785716,0.19449354272930583,0.22751653485778014,0.17237061405465726,0.22143576529477169,0.12110528956228979,0.26979667863151957,0.2010540519653564,0.23747524313462823,0.11507020202702704,0.16165796510067143,0.2300751005326228,0.2689929399865135,0.22634234015748045,0.10900544049459021,0.26277118530101634,0.19243344838455526,0.26043684083850904,0.2197362379446642,0.14781703426791298,0.2355003001792116,0.10186991555555552,0.2611417032085561,0.17783754905490584,0.21872365983971523,0.14749151831992846,0.2101191153153156,0.2672251763134463
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644780653704318,0.3370370465817692,0.3895125442995646,0.3668337726967039,0.39597382216264415,0.3431792835420388,0.3719180308035706,0.346791734228188,0.35013727272727263,0.360814066369213,0.33847863348164675,0.40200784287317565,0.3712932680874925,0.334657063957362,0.37233771399866067,0.4079302810810804,0.37217798926174483,0.3395905199733693,0.36085419150370907,0.3402534181102365,0.4106137673879447,0.3835096677091481,0.34980541528762804,0.3609043322981371,0.3262477280632412,0.37873680529594994,0.34656946326164895,0.41576239999999975,0.3673961818181823,0.3608107272727274,0.34078234105075705,0.37647308400357493,0.3313341702702704,0.3761156482635799
CASH_ADVANCE_FREQUENCY,0.13514067784110123,0.1388761538203751,0.12760288131059844,0.13897352555480824,0.12346458266309218,0.14261682155635047,0.13651192723214298,0.13797863982102904,0.149538411042945,0.13466102063580626,0.1314579810901005,0.1252258249158249,0.13476751261918146,0.1365287921385745,0.14310307903549915,0.12043985540540537,0.13507737785234916,0.1408925865512653,0.13462870397842241,0.15094181574803178,0.12033192117465225,0.13720556215793603,0.1422780669818756,0.13767172515527978,0.12764787826086962,0.13016805685358265,0.13358033333333325,0.11955781511111102,0.14358546880570436,0.13786775247524757,0.1508449643811219,0.12747500178731005,0.13855362162162171,0.12972735618878004
CASH_ADVANCE_TRX,3.2490781092859535,3.362935656836461,3.014376462721498,3.370880968392737,2.9535299374441464,3.3725402504472273,3.3455357142857145,3.3248322147651006,3.6848856664807585,3.1673173452314556,3.132369299221357,3.0028058361391694,3.256870443073472,3.3797468354430378,3.492297387809779,2.852027027027027,3.1812080536912752,3.340213049267643,3.24409979770735,3.599212598425197,2.829211746522411,3.424550430023456,3.5027580772261624,3.3509316770186337,2.9367588932806323,3.1059190031152646,3.1254480286738353,2.7653333333333334,3.5026737967914436,3.253825382538254,3.5654496883348172,3.1510277033065237,3.4036036036036035,3.2270703472840605
PURCHASES_TRX,14.711476142585763,14.633378016085791,11.67703109327984,17.841627437794216,10.9562109025916,15.452593917710196,18.68125,13.751677852348994,15.679866146123814,12.919129949804796,15.245828698553948,10.77384960718294,18.936623667975322,13.698867421718854,17.133288680509043,10.435135135135136,12.901342281879195,15.541278295605858,18.544167228590695,15.1748031496063,9.949768160741886,18.48788115715403,13.292356185973206,18.459627329192546,14.89090909090909,12.756230529595015,15.840501792114695,9.370666666666667,18.585561497326204,13.162016201620162,15.066785396260018,12.587131367292224,14.311711711711713,18.758682101513802
CREDIT_LIMIT,4494.449450364621,4773.116131150469,2877.527802262119,5841.010067045729,2561.206930791331,5155.261921540698,5973.699404762054,4286.6195512170025,5301.523883564974,3806.7788875934184,4866.7353456701885,2421.7346302530864,6070.510375771172,4519.813558637575,5543.197548154051,2300.225225225,3430.8740424382545,5021.030881383488,6138.010788941335,5111.823351625984,2245.775373518547,5797.628355486317,4244.8617379472025,6096.638198757764,4838.905258114624,3152.023191415888,5049.462365591397,2165.6296296293335,6195.766488413547,3976.1517060801075,5270.138607804986,2966.083804984808,4579.54067704054,5751.947165331256
PAYMENTS,1733.3365108509327,1765.6544097848523,1172.0201665777365,2265.4348885585055,1057.7403832716734,1917.9695681860414,2361.959530726335,1595.094476309621,1911.3828661288355,1460.1575008399307,1807.6817034026726,1019.3134175443302,2467.6547082714515,1638.9473442704898,2059.8669526483577,947.3492830824304,1387.0341386429573,1893.7157021584517,2470.039326614294,1893.5002586244075,900.1981113778958,2152.4614175504257,1619.974374048858,2481.369450566771,1780.2836757889331,1312.475401176792,1929.673244413979,844.4344414462212,2499.344484767379,1505.385424360035,1893.8121202715934,1274.496814995534,1686.8845349585592,2231.5421629474595
MINIMUM_PAYMENTS,845.0033584093704,846.8967965025133,663.3227447223351,1025.8226913845012,599.1485314483934,883.6897901048726,1050.6693383156273,846.3583680190186,883.3152478809264,863.2446134305649,822.8569786368196,558.1364891764892,1097.1717059857024,866.2804869337125,944.6641523171489,534.3444745334475,764.2611873040275,852.2652251371511,1106.9339882400577,881.9022283618106,539.4645867036335,906.8553921939034,877.8324933865266,1147.6158939615727,829.3790164418981,734.2062626530383,857.435606176971,539.2173993977782,1200.288679580219,938.0856876309643,911.2775467275148,658.2592324218049,755.6671848644152,900.0293008797881
PRC_FULL_PAYMENT,0.1537318252318706,0.14511120978552264,0.168675323303243,0.14735250907868186,0.18058403932082226,0.13930921958855114,0.1492035624999998,0.14581101968680105,0.12953795203569454,0.14533000390407155,0.1526839644048944,0.18390266610549935,0.1574130902972518,0.15339995469686893,0.14280776557267244,0.19173953445945954,0.14497105100671154,0.13813916977363522,0.1517291759946056,0.12557965511811026,0.19351757650695517,0.1568756473807662,0.14177433333333334,0.14348510636645959,0.15813426640316217,0.1561089968847353,0.1475811424731182,0.19805780444444446,0.1309583458110516,0.13390324302430234,0.1306492448797863,0.1627632260947275,0.15831551081081088,0.16736187266251137
TENURE,11.517934964800537,11.620308310991957,11.230023403543965,11.704774714189643,11.116621983914209,11.671288014311271,11.707589285714286,11.576286353467562,11.688789737869492,11.559955382041272,11.604560622914349,11.018518518518519,11.715647784632642,11.585609593604264,11.701942397856664,10.912162162162161,11.535570469798659,11.661784287616511,11.70532703978422,11.679527559055119,10.816846986089644,11.692728694292416,11.570527974783294,11.703416149068323,11.644268774703557,11.52803738317757,11.6415770609319,10.719111111111111,11.709447415329768,11.55985598559856,11.70080142475512,11.519213583556747,11.59009009009009,11.707034728406056
cluster_3,0.998882556710247,0.0,1.0,2.0,1.0,0.6565295169946332,2.0,0.33691275167785234,1.328499721137758,0.6742889012827663,0.0,1.0,2.0,0.013990672884743505,1.9973208305425318,1.0,1.0,0.0,2.0,0.6409448818897637,1.0,2.0,0.32545311268715527,2.0,0.0,1.0,0.0,1.0,2.0,0.6723672367236724,1.298308103294746,1.0,0.0,2.0
cluster_4,1.4997206391775617,1.9932975871313674,0.7552657973921765,1.753194351042367,0.0,1.0,2.0,3.0,1.2548800892359175,2.237032905744562,1.9988876529477198,0.0,2.0,3.0,1.507032819825854,0.0,1.4738255033557046,1.0026631158455392,2.0,1.0,0.0,1.7443315089913995,3.0,2.0,1.9897233201581028,0.794392523364486,1.014336917562724,0.0,2.0,3.0,1.0,0.0160857908847185,3.0,1.9955476402493322
cluster_5,1.9965359258017656,1.4008042895442359,2.1915747241725176,2.398117014122394,2.5924932975871315,0.8050089445438283,3.1839285714285714,1.4017897091722595,0.0,1.0,2.0,3.0,4.0,1.5969353764157228,0.8037508372404555,3.0,1.4053691275167786,1.2010652463382157,4.0,0.4110236220472441,3.0,1.5480844409695074,1.2143420015760442,4.0,2.0,1.7601246105919004,1.6272401433691757,3.0,4.0,1.0,0.0,2.1742627345844503,1.8018018018018018,2.354407836153161
cluster_6,2.4970387752821543,2.0140750670241285,2.4841190237378803,2.994620040349697,2.3386952636282397,3.012522361359571,3.648214285714286,0.9861297539149888,2.003904071388734,1.9877300613496933,2.006674082313682,2.169472502805836,4.326977005047673,0.0,1.0,2.0,3.0,4.0,5.0,3.0338582677165356,2.0,1.6098514464425333,0.9267139479905437,5.0,2.026877470355731,2.8551401869158877,3.978494623655914,2.0,5.0,1.9603960396039604,2.0471950133570793,2.682752457551385,0.0,2.285841495992876
cluster_7,2.999217789697173,2.9802278820375334,3.422601136743564,2.5924680564895763,3.1090259159964253,1.7213774597495528,3.15,4.0165548098434005,0.8745119910764082,4.331846068042387,3.971635150166852,2.3692480359147026,3.44475602916433,3.8314457028647566,1.4521098459477562,1.6283783783783783,5.210738255033557,2.133821571238349,3.73701955495617,0.0,1.0,2.0,3.0,4.0,5.0,6.0,2.8987455197132617,1.0,4.0,3.9018901890189017,0.5734639358860196,5.244861483467382,4.113513513513514,2.2956366874443455
cluster_8,3.498714940216784,3.1260053619302948,2.995987963891675,4.378278412911903,2.9892761394101877,2.024597495527728,4.495535714285714,4.484563758389262,4.308979364194088,3.8834355828220857,2.9699666295884315,2.474747474747475,3.8536174985978686,5.206528980679547,5.531145344943067,1.9594594594594594,4.025503355704698,1.043941411451398,3.2171274443695212,2.5228346456692914,1.5224111282843895,6.244722439405786,4.163120567375887,2.6444099378881987,2.9312252964426877,4.479750778816199,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
